year_month,trips,service
2017-05,345988,divvy
2017-06,505164,divvy
2017-07,565142,divvy
2017-08,557639,divvy
2017-09,485489,divvy
2017-10,354104,divvy
2017-11,189728,divvy
2017-12,125396,divvy
2018-01,109706,divvy
2018-02,102950,divvy
2018-03,174489,divvy
2018-04,200112,divvy
2018-05,401150,divvy
2018-06,458419,divvy
2018-07,544703,divvy
2018-08,530755,divvy
2018-09,438112,divvy
2018-10,344940,divvy
2018-11,168767,divvy
2018-12,128972,divvy
2019-01,103272,divvy
2019-02,96186,divvy
2019-03,165611,divvy
2019-04,265310,divvy
2019-05,367458,divvy
2019-06,475395,divvy
2019-07,557315,divvy
2019-08,590184,divvy
2019-09,493219,divvy
2019-10,371786,divvy
2019-11,177163,divvy
2019-12,155092,divvy
2020-01,143884,divvy
2020-02,139575,divvy
2020-03,143218,divvy
2020-04,84717,divvy
2020-05,200090,divvy
2020-06,342504,divvy
2020-07,549665,divvy
2020-08,619481,divvy
2020-09,530767,divvy
2020-10,386702,divvy
2020-11,258823,divvy
2020-12,131131,divvy
