,year,stationid,station,startpoints,endpoints,total_points,ranking,service
27,2019-01-01,31623,Columbus Circle / Union Station,58533,62977,121510,1,capital
28,2019-01-01,31201,15th & P St NW,35382,38456,73838,2,capital
29,2019-01-01,31258,Lincoln Memorial,35268,35026,70294,3,capital
30,2020-01-01,-1.0,,84544,97099,181643,1,capital
31,2020-01-01,31258,Lincoln Memorial,23911,21905,45816,2,capital
32,2020-01-01,31201.0,15th & P St NW,21568,24067,45635,3,capital
0,2013-01-01,497,E 17 St & Broadway,55371,59570,114941,1,citi
1,2013-01-01,459,W 20 St & 11 Ave,51783,51874,103657,2,citi
2,2013-01-01,293,Lafayette St & E 8 St,51166,50346,101512,3,citi
3,2014-01-01,521,8 Ave & W 31 St,100498,81367,181865,1,citi
4,2014-01-01,293,Lafayette St & E 8 St,86692,84029,170721,2,citi
5,2014-01-01,497,E 17 St & Broadway,80166,85494,165660,3,citi
6,2015-01-01,519,Pershing Square North,104813,95782,200595,1,citi
7,2015-01-01,293,Lafayette St & E 8 St,95887,96341,192228,2,citi
8,2015-01-01,521,8 Ave & W 31 St,100796,83286,184082,3,citi
9,2016-01-01,519,Pershing Square North,150522,147060,297582,1,citi
10,2016-01-01,435,W 21 St & 6 Ave,100721,101785,202506,2,citi
11,2016-01-01,402,Broadway & E 22 St,97351,104888,202239,3,citi
12,2017-01-01,519,Pershing Square North,162715,160387,323102,1,citi
13,2017-01-01,497,E 17 St & Broadway,112218,117318,229536,2,citi
14,2017-01-01,402,Broadway & E 22 St,108589,116509,225098,3,citi
15,2018-01-01,519,Pershing Square North,150257,149932,300189,1,citi
16,2018-01-01,497,E 17 St & Broadway,108883,113336,222219,2,citi
17,2018-01-01,435,W 21 St & 6 Ave,107165,108636,215801,3,citi
18,2019-01-01,519,Pershing Square North,156575,155536,312111,1,citi
19,2019-01-01,497,E 17 St & Broadway,121781,125466,247247,2,citi
20,2019-01-01,3255,8 Ave & W 31 St,119958,121631,241589,3,citi
21,2020-01-01,426,West St & Chambers St,99364,101767,201131,1,citi
22,2020-01-01,3141,1 Ave & E 68 St,100753,100260,201013,2,citi
23,2020-01-01,435,W 21 St & 6 Ave,99191,100313,199504,3,citi
0,2013-01-01,90,Millennium Park,17272,18395,35667,1,divvy
1,2013-01-01,35,Streeter Dr & Illinois St,16710,18544,35254,2,divvy
2,2013-01-01,76,Lake Shore Dr & Monroe St,15673,15457,31130,3,divvy
3,2014-01-01,35,Streeter Dr & Illinois St,54214,67048,121262,1,divvy
4,2014-01-01,76,Lake Shore Dr & Monroe St,41326,42060,83386,2,divvy
5,2014-01-01,177,Theater on the Lake,38667,41297,79964,3,divvy
6,2015-01-01,35,Streeter Dr & Illinois St,66759,78509,145268,1,divvy
7,2015-01-01,76,Lake Shore Dr & Monroe St,48768,46807,95575,2,divvy
8,2015-01-01,177,Theater on the Lake,42683,45104,87787,3,divvy
9,2016-01-01,35,Streeter Dr & Grand Ave,90042,99495,189537,1,divvy
10,2016-01-01,76,Lake Shore Dr & Monroe St,51090,48583,99673,2,divvy
11,2016-01-01,177,Theater on the Lake,47927,51281,99208,3,divvy
12,2017-01-01,35,Streeter Dr & Grand Ave,97571,106023,203594,1,divvy
13,2017-01-01,192,Canal St & Adams St,50911,52608,103519,2,divvy
14,2017-01-01,76,Lake Shore Dr & Monroe St,53400,50107,103507,3,divvy
15,2018-01-01,35,Streeter Dr & Grand Ave,66944,78221,145165,1,divvy
16,2018-01-01,192,Canal St & Adams St,62654,59179,121833,2,divvy
17,2018-01-01,77,Clinton St & Madison St,51692,50068,101760,3,divvy
18,2019-01-01,35,Streeter Dr & Grand Ave,67983,81723,149706,1,divvy
19,2019-01-01,192,Canal St & Adams St,54389,50127,104516,2,divvy
20,2019-01-01,91,Clinton St & Washington Blvd,48153,50686,98839,3,divvy
21,2020-01-01,-1,,94607,110714,205321,1,divvy
22,2020-01-01,35,Streeter Dr & Grand Ave,34783,37207,71990,2,divvy
23,2020-01-01,176,Clark St & Elm St,30522,30527,61049,3,divvy
