endid,endname,end_lat,end_long,geometry,zipcode
377.0,Perry Park,42.379272,-71.10342,POINT (-71.10342 42.379272),2143
378.0,191 Beacon St,42.38032,-71.10879,POINT (-71.10879 42.38032),2143
379.0,Tremont St at W. Dedham St,42.34255,-71.07421,POINT (-71.07420999999999 42.34255),2118
380.0,Mass Ave at Albany St,42.36136,-71.0967,POINT (-71.0967 42.36136),2139
381.0,Inman Square at Springfield St.,42.374386,-71.10016,POINT (-71.10016 42.374386),2139
385.0,Albany St at E. Brookline St,42.336647,-71.06895,POINT (-71.06895 42.336647),2118
386.0,Sennott Park Broadway at Norfolk Street,42.368607,-71.099304,POINT (-71.099304 42.368607),2139
387.0,7 Acre Park,42.41143,-71.06823,POINT (-71.06823 42.41143),2149
389.0,Everett Square (Broadway at Chelsea St),42.40726,-71.055466,POINT (-71.055466 42.40726),2149
390.0,Broadway at Lynde St,42.396484,-71.06547,POINT (-71.06547 42.396484),2149
391.0,Encore,42.39329,-71.07245,POINT (-71.07245 42.39329),2149
392.0,Glendale Square (Ferry St at Broadway),42.414272,-71.0448,POINT (-71.0448 42.414272),2149
393.0,Swan St. Park,42.412506,-71.058426,POINT (-71.058426 42.412506),2149
395.0,Chelsea St at Vine St,42.403282,-71.04762,POINT (-71.04761999999999 42.403282),2149
396.0,Wasgatt Playground,42.40933,-71.06382,POINT (-71.06382000000001 42.40933),2149
397.0,Broadway at Beacham St,42.39836,-71.063736,POINT (-71.06373600000001 42.39836),2149
398.0,75 Binney St,42.36551,-71.08014,POINT (-71.08014 42.36551),2142
399.0,Shawmut Ave at Oak St W,42.348545,-71.06559,POINT (-71.06559 42.348545),2118
400.0,Lansdowne T Stop,42.347343,-71.10017,POINT (-71.10017000000001 42.347343),2215
404.0,Mass Ave T Station,42.341354,-71.08337,POINT (-71.08337 42.341354),2118
405.0,Sydney St at Carson St,42.320393,-71.05355,POINT (-71.05355 42.320393),2125
406.0,Somerville City Hall Annex,42.3919,-71.09745,POINT (-71.09744999999999 42.3919),2145
407.0,Craigie at Summer St,42.388306,-71.11068,POINT (-71.11068 42.388306),2143
408.0,Edgerly Education Center,42.387177,-71.08714,POINT (-71.08714000000001 42.387177),2145
409.0,Elm St at White St,42.389523,-71.11694,POINT (-71.11694 42.389523),2144
413.0,Kennedy-Longfellow School 158 Spring St,42.369553,-71.08579,POINT (-71.08579 42.369553),2141
414.0,Discovery Park - 30 Acorn Park Drive,42.397907,-71.14797,POINT (-71.14797 42.397907),2140
415.0,Stuart St at Berkeley St,42.349545,-71.07242,POINT (-71.07241999999999 42.349545),2116
417.0,Columbus Ave at W. Canton St,42.34474,-71.076485,POINT (-71.07648500000001 42.34474),2116
419.0,Central Square East Boston,42.37545,-71.039185,POINT (-71.039185 42.37545),2128
422.0,American Legion Hwy at Canterbury St,42.278812,-71.116875,POINT (-71.11687499999999 42.278812),2131
424.0,Jamaica St at South St,42.306046,-71.11571,POINT (-71.11571000000001 42.306046),2130
425.0,The Dimock Center,42.31931,-71.0964,POINT (-71.0964 42.31931),2119
426.0,Surface Rd at Summer St,42.352947,-71.056564,POINT (-71.05656399999999 42.352947),2110
432.0,Centre St at W. Roxbury Post Office,42.28633,-71.15345,POINT (-71.15345000000001 42.28633),2132
433.0,Centre St at Parkway YMCA,42.28278,-71.15729,POINT (-71.15729 42.28278),2132
434.0,Spring St at Powell St,42.277485,-71.163414,POINT (-71.163414 42.277485),2132
436.0,Maverick St at Massport Path,42.36774,-71.03336,POINT (-71.03336 42.36774),2128
