endid,endname,end_lat,end_long,geometry,zipcode
233,4th Ave at E 12th St (Temporary Location),37.795914,-122.25555,POINT (-122.25555 37.795914),94606
234,Fruitvale Ave at International Blvd,37.778057,-122.2254,POINT (-122.2254 37.778057),94601
235,Union St at 10th St,37.80724,-122.28937,POINT (-122.28937 37.80724),94607
236,Market St at 8th St,37.803688,-122.28249,POINT (-122.28249 37.803688),94607
237,Fruitvale BART Station,37.77523,-122.224495,POINT (-122.224495 37.77523),94601
238,MLK Jr Way at University Ave,37.87172,-122.27307,POINT (-122.27307 37.87172),94704
239,Bancroft Way at Telegraph Ave,37.868813,-122.258766,POINT (-122.258766 37.868813),94704
24,Spear St at Folsom St,37.789677,-122.39043,POINT (-122.39043 37.789677),94105
240,Haste St at Telegraph Ave,37.866043,-122.258804,POINT (-122.258804 37.866043),94704
241,Ashby BART Station,37.852478,-122.27021,POINT (-122.27021 37.852478),94703
242,Milvia St at Derby St,37.860126,-122.26939,POINT (-122.26939 37.860126),94704
243,Bancroft Way at College Ave,37.86936,-122.25434,POINT (-122.25434 37.86936),94720
244,Shattuck Ave at Hearst Ave,37.873676,-122.268486,POINT (-122.268486 37.873676),94704
245,Downtown Berkeley BART,37.870346,-122.26776,POINT (-122.26776 37.870346),94704
246,Berkeley Civic Center,37.86906,-122.27055,POINT (-122.27055 37.86906),94704
247,Fulton St at Bancroft Way,37.86779,-122.2659,POINT (-122.2659 37.86779),94704
248,Telegraph Ave at Ashby Ave,37.855957,-122.259796,POINT (-122.259796 37.855957),94705
249,Russell St at College Ave,37.858475,-122.25325,POINT (-122.25325 37.858475),94705
25,Howard St at 2nd St,37.78752,-122.39741,POINT (-122.39741 37.78752),94105
250,North Berkeley BART Station,37.873558,-122.2831,POINT (-122.2831 37.873558),94702
251,California St at University Ave,37.870556,-122.279724,POINT (-122.279724 37.870556),94703
252,Channing Way at Shattuck Ave,37.865845,-122.26744,POINT (-122.26744 37.865845),94704
253,Haste St at College Ave,37.866417,-122.2538,POINT (-122.2538 37.866417),94704
254,Vine St at Shattuck Ave,37.880222,-122.26959,POINT (-122.26959 37.880222),94709
